ticker,scores
AAPL,-0.13764741737395525
ABC,0.4313537646085024
ADI,-0.24510146724060178
ADSK,-0.16813039081171155
AMAT,-0.7994822701439261
APD,-0.11898272065445781
AYI,0.4857025924138725
AZO,-0.3465357404202223
BBY,-0.6870268830098212
BDX,0.8420169097371399
CAG,0.22773811314255
CAH,-0.12443013163283467
CLX,0.665256155654788
COL,0.8011652347631752
COO,0.5893951896578074
COST,-0.008327559567987919
CPB,-0.6311985268257558
CRM,-0.13774664653465152
CSCO,-0.6788115645758808
CSRA,-0.005519630387425423
CTAS,0.4623402045108378
DE,-0.15102666709572077
DHI,0.36130006751045585
DIS,-0.7673816806636751
DRI,-0.14641844714060426
EA,0.671491201967001
EL,0.6857780874706805
EMR,-0.7790343076922
FDX,-0.03069701138883829
FFIV,-0.5033686719834805
GIS,0.17011883854866028
GPN,-0.487675363663584
HAR,0.6440340615808964
HOLX,-0.8104048962704837
HP,-0.4298654403537512
HPE,0.714877609629184
HPQ,-0.15798193076625466
HRB,-0.9474505330435932
HRL,0.44183537969365716
HRS,-0.036784254014492035
INTU,-0.10083237616345286
JEC,0.12430734280496836
KLAC,0.5461298990994692
KMX,-0.0908719846047461
KORS,-0.5600589509122074
LLTC,-0.5698727462440729
LRCX,-0.8582521327771246
MCHP,-0.40821382449939847
MCK,0.6246192422695458
MON,0.6478664604946971
MSFT,-0.4661355083808303
MU,-0.19332444295287132
NKE,0.17126477416604757
NTAP,0.05275215208530426
NVDA,-0.6360144559293985
NWSA,0.8525150022469461
PAYX,-0.3830919014289975
PDCO,-0.6998867131769657
PH,0.45953398710116744
QCOM,-0.2598722539842129
QRVO,-0.9149549407884479
RHT,0.21799517748877406
RL,0.3287878497503698
ROK,-0.9270246871747077
SBUX,0.10935161542147398
SIG,0.882262687664479
SJM,0.6035311929881573
STX,-0.7793621621094644
STZ,-0.5110828764736652
SWKS,0.7091212412342429
SYMC,0.5124106332659721
SYY,-0.5745869195088744
TDG,0.9064053976908326
TEL,0.06963886646553874
TJX,-0.130965412594378
TSN,-0.3577645169571042
URBN,-0.25468438398092985
V,0.8619282222352922
VAR,0.5243310369551182
VIAB,-0.7754803844727576
WDC,0.9168636822141707
WFM,0.5231487876735628
WMT,0.8363198642618954
WRK,-0.6075540585443377
XLNX,-0.590313664637506
