"","Ticker Symbol","For Year","Total Assets","Intangible Assets","Liabilities","Earnings Per Share","Total Revenue","Current Ratio","Quick Ratio","Profit Margin","Operating Margin","Total Liabilities","Total Equity","Retained Earnings","Gross Margin","Estimated Shares Outstanding","Book Value","Asset Turnover","Total Debt To Equity","date","open","close","low","high","volume","month","Name","Sector","Industry"
"95","AMGN",2013,6.6125e+10,1.3262e+10,-2.89e+08,6.75,1.8676e+10,344,306,27,31,4.4029e+10,2.2096e+10,-7.634e+09,82,752740740.741,5.3152e+10,0.282434782608696,1.99262309920348,2013-04-01,102.620003,102.309998,101.699997,103.900002,4099700,"04","Amgen Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"96","AMGN",2014,6.9009e+10,1.2693e+10,8.84e+08,6.8,2.0063e+10,495,458,26,31,4.3231e+10,2.5778e+10,-4.624e+09,78,758529411.765,5.5432e+10,0.290730194612297,1.67705019784312,2014-04-01,123.669998,126.07,123.510002,126.230003,3163600,"04","Amgen Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"97","AMGN",2015,7.1449e+10,1.1641e+10,8.99e+08,9.15,2.1662e+10,445,416,32,39,4.3366e+10,2.8083e+10,-2.086e+09,80,758360655.738,5.8909e+10,0.303181290151017,1.54420823986041,2015-04-01,159.369995,157.100006,154.639999,159.389999,5135000,"04","Amgen Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"98","AMP",2012,1.34729e+11,0,1.71e+08,4.7,1.0259e+10,NA,NA,10,15,1.25637e+11,9.092e+09,6.381e+09,81,218936170.213,1.34558e+11,0.0761454475280006,13.8184117905851,2012-04-02,57.18,57.759998,57.080002,57.939999,1604600,"04","AMERIPRISE FINANCIAL SERVICES, INC.","Finance","Investment Managers"
"99","AMP",2013,1.44576e+11,0,-1.184e+09,6.56,1.123e+10,NA,NA,12,20,1.36384e+11,8.192e+09,7.289e+09,83,203353658.537,1.4576e+11,0.0776754094732182,16.6484375,2013-04-01,73.519997,72.870003,72.699997,74,1205400,"04","AMERIPRISE FINANCIAL SERVICES, INC.","Finance","Investment Managers"
"100","AMP",2014,1.4881e+11,0,1.257e+09,8.45,1.2296e+10,NA,NA,13,24,1.40686e+11,8.124e+09,8.469e+09,84,191597633.136,1.47553e+11,0.0826288555876621,17.3173313638602,2014-04-01,110.57,111.860001,110.449997,112.059998,938300,"04","AMERIPRISE FINANCIAL SERVICES, INC.","Finance","Investment Managers"
"101","AMP",2015,1.45342e+11,0,5.76e+08,8.6,1.22e+10,NA,NA,13,21,1.38125e+11,7.217e+09,9.551e+09,81,181627906.977,1.44766e+11,0.0839399485351791,19.1388388527089,2015-04-01,130.759995,130.460007,129.580002,131.279999,817600,"04","AMERIPRISE FINANCIAL SERVICES, INC.","Finance","Investment Managers"
"102","AMT",2012,14089429000,3206085000,143348000,1.61,2875960000,132,132,22,39,10516328000,3573101000,-1196907000,75,395827950.311,10739996000,0.204121827790182,2.94319360130038,2012-04-02,63.060001,64.010002,62.84,64.029999,2731900,"04","American Tower Corporation (REIT)","Consumer Services","Real Estate Investment Trusts"
"103","AMT",2013,20283665000,6570119000,295029000,1.4,3361407000,106,106,16,36,16749500000,3534165000,-1081467000,74,393809285.714,13418517000,0.165719903183177,4.73930900226786,2013-04-01,76.970001,77.75,76.599998,77.75,1722500,"04","American Tower Corporation (REIT)","Consumer Services","Real Estate Investment Trusts"
"104","AMT",2014,21263565000,6824273000,357940000,2.02,4100048000,50,50,20,36,17310005000,3953560000,-837320000,73,408371287.129,14081352000,0.192820347857944,4.378333704307,2014-04-01,81.980003,81.610001,80.900002,82.089996,2414600,"04","American Tower Corporation (REIT)","Consumer Services","Real Estate Investment Trusts"
"105","AMT",2015,26904272000,9837876000,150984000,1.42,4771516000,83,83,14,34,20252593000,6651679000,-998535000,73,482446478.873,16915412000,0.177351611669701,3.04473396867167,2015-04-01,96.260002,96.459999,95.610001,97.239998,3388900,"04","American Tower Corporation (REIT)","Consumer Services","Real Estate Investment Trusts"
"106","AMZN",2013,4.0159e+10,0,5.315e+09,0.6,7.4452e+10,107,75,0,1,3.0413e+10,9.746e+09,2.19e+09,27,456666666.667,3.4844e+10,1.85393062576259,3.12056228196183,2013-04-01,266.980011,261.609985,261.01001,267.399994,2524800,"04","Amazon.com, Inc.","Consumer Services","Catalog/Specialty Distribution"
"107","AMZN",2014,5.4505e+10,0,6.898e+09,-0.52,8.8988e+10,112,82,0,0,4.3764e+10,1.0741e+10,1.949e+09,29,463461538.462,4.7607e+10,1.63265755435281,4.07448096080439,2014-04-01,338.089996,342.98999,338,344.429993,3600100,"04","Amazon.com, Inc.","Consumer Services","Catalog/Specialty Distribution"
"108","AMZN",2015,6.4747e+10,0,1.2608e+10,1.28,1.07006e+11,105,75,1,2,5.1363e+10,1.3384e+10,2.545e+09,33,465625000,5.2139e+10,1.65267888859716,3.83764196054991,2015-04-01,372.100006,370.26001,368.339996,373.160004,2458100,"04","Amazon.com, Inc.","Consumer Services","Catalog/Specialty Distribution"
"109","AN",2013,7914100000,335100000,464700000,3.09,17517600000,102,27,2,4,5852400000,2061700000,3337900000,16,121326860.841,7114300000,2.21346710301866,2.83862831643789,2013-04-01,43.790001,43.439999,42.93,43.790001,440500,"04","AutoNation, Inc.","Consumer Durables","Automotive Aftermarket"
"110","AN",2014,8399700000,354700000,9.9e+07,3.57,19108800000,103,28,2,4,6327600000,2072100000,3756600000,16,117282913.165,7.946e+09,2.27493839065681,3.05371362385985,2014-04-01,53.389999,54.689999,53.290001,54.799999,920800,"04","AutoNation, Inc.","Consumer Durables","Automotive Aftermarket"
"111","AN",2015,9548200000,439900000,566700000,3.93,2.0862e+10,91,21,2,4,7198900000,2349300000,2702800000,16,112620865.14,8541600000,2.18491443413418,3.06427446473418,2015-04-01,64.190002,63.77,63.18,64.190002,613800,"04","AutoNation, Inc.","Consumer Durables","Automotive Aftermarket"
"112","ANTM",2012,58955400000,8665500000,-860600000,8.26,61497200000,NA,NA,4,6,35152700000,23802700000,12647100000,22,321489104.116,51150500000,1.04311394715327,1.47683666138715,2012-04-02,73.629997,72.949997,72.830002,73.800003,3552100,"04","Anthem, Inc.","Health Care","Medical Specialities"
"113","ANTM",2013,59574500000,8.441e+09,-261300000,8.34,71023500000,NA,NA,4,5,34809300000,24765200000,13813900000,21,298525179.856,51394800000,1.19217953990382,1.40557314295867,2013-04-01,66.290001,67.440002,65.82,67.699997,2971500,"04","Anthem, Inc.","Health Care","Medical Specialities"
"114","ANTM",2013,61676300000,7958100000,1439400000,9.31,73874100000,NA,NA,3,6,3.7425e+10,24251300000,14014400000,23,276015037.594,52278800000,1.19777126708314,1.54321623995415,2013-04-01,66.290001,67.440002,65.82,67.699997,2971500,"04","Anthem, Inc.","Health Care","Medical Specialities"
"115","ANTM",2015,61717800000,8.158e+09,735500000,9.73,79156500000,NA,NA,3,6,38673700000,23044100000,14778500000,23,263103802.672,52824300000,1.28255543781535,1.67824736049575,2015-04-01,154.080002,153.990005,152.529999,154.389999,1595400,"04","Anthem, Inc.","Health Care","Medical Specialities"
"116","AON",2012,3.0486e+10,2.975e+09,7.26e+08,3.03,1.1514e+10,NA,NA,9,14,2.2724e+10,7.762e+09,5.933e+09,100,327722772.277,2.6785e+10,0.377681558748278,2.92759598041742,2012-04-02,49.009998,49.220001,48.740002,49.360001,1512700,"04","Aon plc","Finance","Specialty Insurers"
"117","AON",2013,3.0251e+10,2.578e+09,-6.6e+08,3.57,1.1815e+10,NA,NA,9,14,2.2106e+10,8.145e+09,5.731e+09,100,311764705.882,2.8333e+10,0.390565601137152,2.71405770411295,2013-04-01,61.349998,61.099998,60.970001,61.84,1280500,"04","Aon plc","Finance","Specialty Insurers"
"118","AON",2014,2.9772e+10,2.52e+09,1.28e+08,4.73,1.2045e+10,NA,NA,12,16,2.3201e+10,6.571e+09,4.605e+09,100,295348837.209,2.7124e+10,0.404574768238613,3.53081722721047,2014-04-01,84.580002,84.800003,84.18,84.949997,898200,"04","Aon plc","Finance","Specialty Insurers"
